===== XTB STOCK ANALYSIS DATABASE =====
Generated on: 2025-03-02 22:59:25
FORMAT: TICKER | PRICE | SIGMA | RECOMMENDATION
MLCO.US_4 | $554.00 | 0.52031 | HOLD - Moderate Sigma with mixed signals
DAC.US | $7850.00 | 0.44319 | HOLD - Moderate Sigma with mixed signals
MVIS.US | $14400.00 | 0.62745 | BUY - Good Sigma with positive technical indicators
NRDS.US | $1014.00 | 0.46523 | HOLD - Moderate Sigma with mixed signals
SUJP.UK | $69319.00 | 0.39481 | SELL - Low Sigma suggests limited profit potential
ALB.US_4 | $7689.00 | 0.29504 | SELL - Low Sigma suggests limited profit potential
ADBE.US_9 | $43827.00 | 0.29052 | SELL - Low Sigma suggests limited profit potential
BKH.US_4 | $6101.00 | 0.63026 | BUY - Good Sigma with positive technical indicators
ZETA.US | $1723.00 | 0.31440 | SELL - Low Sigma suggests limited profit potential
CTT.PT_4 | $6800.00 | 0.60789 | BUY - Good Sigma with positive technical indicators
SKG.UK | $363400.00 | 0.33392 | SELL - Low Sigma suggests limited profit potential
LMP.UK_9 | $18620.00 | 0.42575 | HOLD - Moderate Sigma with mixed signals
H410.DE | $104840.00 | 0.36074 | SELL - Low Sigma suggests limited profit potential
SOLV.US_4 | $7955.00 | 0.58901 | HOLD - Moderate Sigma with mixed signals
CPT.US_4 | $12383.00 | 0.51990 | HOLD - Moderate Sigma with mixed signals
EQQQ.DE | $48415.00 | 0.20406 | SELL - Low Sigma suggests limited profit potential
FEVR.UK_4 | $6719.00 | 0.32077 | SELL - Low Sigma suggests limited profit potential
TIGR.DE | $80670.00 | 0.21080 | SELL - Low Sigma suggests limited profit potential
WCH.DE_4 | $6883.00 | 0.53353 | HOLD - Moderate Sigma with mixed signals
DCC.UK_9 | $5370.00 | 0.42798 | HOLD - Moderate Sigma with mixed signals
IJPE.UK_5 | $906000.00 | 0.22912 | SELL - Low Sigma suggests limited profit potential
PRE.UK | $1955.00 | 0.32559 | SELL - Low Sigma suggests limited profit potential
EUNK.DE_5 | $86220.00 | 0.51810 | HOLD - Moderate Sigma with mixed signals
OCDO.UK_4 | $26100.00 | 0.29575 | SELL - Low Sigma suggests limited profit potential
XDWY.DE | $23540.00 | 0.19621 | STRONG SELL - Very low Sigma indicates poor trading conditions
K.US_4 | $8277.00 | 0.48708 | HOLD - Moderate Sigma with mixed signals
ATO.FR_4 | $29.00 | 0.66670 | BUY - Good Sigma with positive technical indicators
FLS.US_9 | $5479.00 | 0.29509 | SELL - Low Sigma suggests limited profit potential
XLY.US_5 | $21552.00 | 0.22733 | SELL - Low Sigma suggests limited profit potential
HUM.US_4 | $27007.00 | 0.52966 | HOLD - Moderate Sigma with mixed signals
DRX.UK_4 | $6050.00 | 0.35980 | SELL - Low Sigma suggests limited profit potential
ZPDK.DE | $41355.00 | 0.53125 | HOLD - Moderate Sigma with mixed signals
FACE.ES | $2140.00 | 0.56585 | HOLD - Moderate Sigma with mixed signals
FERG.UK_9 | $14020.00 | 0.22786 | SELL - Low Sigma suggests limited profit potential
WELN.DE | $11986.00 | 0.36525 | SELL - Low Sigma suggests limited profit potential
XMEM.DE | $503100.00 | 0.39866 | SELL - Low Sigma suggests limited profit potential
RNR.US_4 | $23682.00 | 0.26088 | SELL - Low Sigma suggests limited profit potential
ALC.CH_4 | $8337.00 | 0.55420 | HOLD - Moderate Sigma with mixed signals
CE.US_4 | $5058.00 | 0.26670 | SELL - Low Sigma suggests limited profit potential
VETH.DE | $127320.00 | 0.30839 | SELL - Low Sigma suggests limited profit potential
GTT.FR_4 | $14560.00 | 0.58129 | HOLD - Moderate Sigma with mixed signals
LAD.US_9 | $34398.00 | 0.42241 | HOLD - Moderate Sigma with mixed signals
PGNY.US | $2248.00 | 0.63690 | BUY - Good Sigma with positive technical indicators
ANF.US_9 | $10266.00 | 0.39941 | SELL - Low Sigma suggests limited profit potential
PAUJ.DE | $42225.00 | 0.54274 | HOLD - Moderate Sigma with mixed signals
HTMW.DE | $42200.00 | 0.26822 | SELL - Low Sigma suggests limited profit potential
EUN5.DE | $1205550.00 | 0.44270 | HOLD - Moderate Sigma with mixed signals
LSEG.UK_4 | $11752.00 | 0.29899 | SELL - Low Sigma suggests limited profit potential
EXH4.DE_9 | $97310.00 | 0.52555 | HOLD - Moderate Sigma with mixed signals
PAGE.UK_4 | $3177.00 | 0.21492 | SELL - Low Sigma suggests limited profit potential
QRVO.US_4 | $7257.00 | 0.32939 | SELL - Low Sigma suggests limited profit potential
VNRA.DE | $13984.00 | 0.22923 | SELL - Low Sigma suggests limited profit potential
LK.US_9 | $2068.00 | 0.66043 | BUY - Good Sigma with positive technical indicators
VIGB.DE | $190000.00 | 0.41086 | HOLD - Moderate Sigma with mixed signals
OLMA.US | $435.00 | 0.36739 | SELL - Low Sigma suggests limited profit potential
QFIN.US | $4000.00 | 0.50274 | HOLD - Moderate Sigma with mixed signals
SRCL.US_4 | $6187.00 | 0.50622 | HOLD - Moderate Sigma with mixed signals
PHNX.UK_9 | $5195.00 | 0.49090 | HOLD - Moderate Sigma with mixed signals
NATGAS | $3751.00 | 0.57195 | HOLD - Moderate Sigma with mixed signals
KINVB.SE_9 | $8698.00 | 0.44557 | HOLD - Moderate Sigma with mixed signals
ETL.FR_4 | $1199.00 | 0.32726 | SELL - Low Sigma suggests limited profit potential
GEN.UK_9 | $3505.00 | 0.38589 | SELL - Low Sigma suggests limited profit potential
LYS4.DE | $998080.00 | 0.39928 | SELL - Low Sigma suggests limited profit potential
LEVI.US_4 | $1793.00 | 0.40613 | HOLD - Moderate Sigma with mixed signals
XGLE.DE | $2219701.00 | 0.42293 | HOLD - Moderate Sigma with mixed signals
2PP.DE | $67640.00 | 0.25323 | SELL - Low Sigma suggests limited profit potential
UNI.IT_9 | $14250.00 | 0.54148 | HOLD - Moderate Sigma with mixed signals
OM3X.DE | $92060.00 | 0.51305 | HOLD - Moderate Sigma with mixed signals
TOST.US | $3848.00 | 0.31769 | SELL - Low Sigma suggests limited profit potential
F500.DE | $16074.00 | 0.18110 | STRONG SELL - Very low Sigma indicates poor trading conditions
NNN.US_9 | $4249.00 | 0.60190 | BUY - Good Sigma with positive technical indicators
MAG.US_9 | $1501.00 | 0.53449 | HOLD - Moderate Sigma with mixed signals
JMIA.US_9 | $244.00 | 0.35303 | SELL - Low Sigma suggests limited profit potential
RS2K.DE | $30620.00 | 0.21067 | SELL - Low Sigma suggests limited profit potential
BMPS.IT_9 | $6980.00 | 0.55940 | HOLD - Moderate Sigma with mixed signals
OSK.US_4 | $10198.00 | 0.46358 | HOLD - Moderate Sigma with mixed signals
IDA.US_9 | $11755.00 | 0.53608 | HOLD - Moderate Sigma with mixed signals
ELIOR.FR_4 | $2574.00 | 0.45629 | HOLD - Moderate Sigma with mixed signals
HHC.US_9 | $7898.00 | 0.49231 | HOLD - Moderate Sigma with mixed signals
ALFA.SE_9 | $46550.00 | 0.33720 | SELL - Low Sigma suggests limited profit potential
TFII.US_4 | $9031.00 | 0.42344 | HOLD - Moderate Sigma with mixed signals
PTLO.US_4 | $1388.00 | 0.73760 | BUY - Good Sigma with positive technical indicators
ANTM.US_4 | $39602.00 | 0.46067 | HOLD - Moderate Sigma with mixed signals
METV.US | $1458.00 | 0.23741 | SELL - Low Sigma suggests limited profit potential
FDR.ES_4 | $2208.00 | 0.19312 | STRONG SELL - Very low Sigma indicates poor trading conditions
SHAK.US_9 | $1082400.00 | 0.48355 | HOLD - Moderate Sigma with mixed signals
SGO.FR_9 | $9670.00 | 0.65735 | BUY - Good Sigma with positive technical indicators
CBU5.DE | $1059251.00 | 0.46562 | HOLD - Moderate Sigma with mixed signals
SNAP.US_9 | $1025.00 | 0.28054 | SELL - Low Sigma suggests limited profit potential
TTC.US_9 | $7970.00 | 0.29757 | SELL - Low Sigma suggests limited profit potential
AGEN.US | $281.00 | 0.32420 | SELL - Low Sigma suggests limited profit potential
BILL.US_4 | $5509.00 | 0.36500 | SELL - Low Sigma suggests limited profit potential
HEI.DE_9 | $14480.00 | 0.47198 | HOLD - Moderate Sigma with mixed signals
SQ.US_4 | $6518.00 | 0.26635 | SELL - Low Sigma suggests limited profit potential
GOTU.US | $35100.00 | 0.66401 | BUY - Good Sigma with positive technical indicators
MGM.US_9 | $3474.00 | 0.64587 | BUY - Good Sigma with positive technical indicators
CLDX.US_4 | $2035.00 | 0.43859 | HOLD - Moderate Sigma with mixed signals
SGO.FR_4 | $9655.00 | 0.50754 | HOLD - Moderate Sigma with mixed signals
STR.FR | $18744.00 | 0.50066 | HOLD - Moderate Sigma with mixed signals
ESSITYB.SE_4 | $29630.00 | 0.63166 | BUY - Good Sigma with positive technical indicators
VOLCARB.SE_9 | $22730.00 | 0.37934 | SELL - Low Sigma suggests limited profit potential
ENR.DE_9 | $5472.00 | 0.60486 | BUY - Good Sigma with positive technical indicators
CXAI.US | $11300.00 | 0.29251 | SELL - Low Sigma suggests limited profit potential
BHP.UK_9 | $19400.00 | 0.18906 | STRONG SELL - Very low Sigma indicates poor trading conditions
IJPE.UK_9 | $907440.00 | 0.24389 | SELL - Low Sigma suggests limited profit potential
IQQ7.DE | $29715.00 | 0.43564 | HOLD - Moderate Sigma with mixed signals
YSG.US | $378.00 | 0.56391 | HOLD - Moderate Sigma with mixed signals
ASND.US | $15652.00 | 0.82754 | STRONG BUY - High Sigma indicates significant trading opportunity with multiple confirming signals
WEBN.DE | $10420.00 | 0.33959 | SELL - Low Sigma suggests limited profit potential
AZN.SE_4 | $162250.00 | 0.48912 | HOLD - Moderate Sigma with mixed signals
FDX.US_9 | $26262.00 | 0.36098 | SELL - Low Sigma suggests limited profit potential
VSTO.US_4 | $4454.00 | 0.55593 | HOLD - Moderate Sigma with mixed signals
DIN.US_9 | $2491.00 | 0.30871 | SELL - Low Sigma suggests limited profit potential
XRX.US_4 | $660.00 | 0.38059 | SELL - Low Sigma suggests limited profit potential
ICAD.FR_4 | $2254.00 | 0.43996 | HOLD - Moderate Sigma with mixed signals
FDR.ES_9 | $2212.00 | 0.18694 | STRONG SELL - Very low Sigma indicates poor trading conditions
DLX.US_4 | $1641.00 | 0.28536 | SELL - Low Sigma suggests limited profit potential
COP.US_9 | $9913.00 | 0.28532 | SELL - Low Sigma suggests limited profit potential
BABA.US_9 | $13239.00 | 0.78871 | BUY - Good Sigma with positive technical indicators
VGEA.DE | $239490.00 | 0.51973 | HOLD - Moderate Sigma with mixed signals
RMD.US_4 | $23279.00 | 0.39477 | SELL - Low Sigma suggests limited profit potential
TTE.FR_4 | $57690.00 | 0.51156 | HOLD - Moderate Sigma with mixed signals
LIN.DE_4 | $44350.00 | 0.47325 | HOLD - Moderate Sigma with mixed signals
SAM.US_4 | $24277.00 | 0.26989 | SELL - Low Sigma suggests limited profit potential
XSPA.US | $10500.00 | 0.38700 | SELL - Low Sigma suggests limited profit potential
H411.DE | $50440.00 | 0.47738 | HOLD - Moderate Sigma with mixed signals
PEG.US_9 | $8091.00 | 0.18884 | STRONG SELL - Very low Sigma indicates poor trading conditions
IAPD.NL | $21540.00 | 0.15801 | STRONG SELL - Very low Sigma indicates poor trading conditions
NCNO.US_9 | $3116.00 | 0.26104 | SELL - Low Sigma suggests limited profit potential
GLW.US_4 | $5011.00 | 0.29903 | SELL - Low Sigma suggests limited profit potential
PL.US | $461.00 | 0.36270 | SELL - Low Sigma suggests limited profit potential
SGMS.US_9 | $11113.00 | 0.62266 | BUY - Good Sigma with positive technical indicators
GRPN.US_4 | $1110.00 | 0.66743 | BUY - Good Sigma with positive technical indicators
KGF.UK_9 | $24740.00 | 0.56457 | HOLD - Moderate Sigma with mixed signals
HEIO.NL_9 | $7045.00 | 0.77179 | BUY - Good Sigma with positive technical indicators
JPEA.UK | $58770.00 | 0.56215 | HOLD - Moderate Sigma with mixed signals
SXXPIEX.DE_5 | $55050.00 | 0.43056 | HOLD - Moderate Sigma with mixed signals
FLXX.DE | $35255.00 | 0.44228 | HOLD - Moderate Sigma with mixed signals
GOLD.US_9 | $1773.00 | 0.51038 | HOLD - Moderate Sigma with mixed signals
TBCG.UK_9 | $4295.00 | 0.57439 | HOLD - Moderate Sigma with mixed signals
UBUJ.DE_9 | $452680.00 | 0.18770 | STRONG SELL - Very low Sigma indicates poor trading conditions
DY.US_4 | $16267.00 | 0.41758 | HOLD - Moderate Sigma with mixed signals
STLAM.IT_4 | $12405.00 | 0.49037 | HOLD - Moderate Sigma with mixed signals
CBUK.DE | $43600.00 | 0.59986 | HOLD - Moderate Sigma with mixed signals
NYCB.US_9 | $1199.00 | 0.52359 | HOLD - Moderate Sigma with mixed signals
AW1R.DE | $17164.00 | 0.22329 | SELL - Low Sigma suggests limited profit potential
SWEDA.SE_4 | $25840.00 | 0.52281 | HOLD - Moderate Sigma with mixed signals
FOSL.US_9 | $15000.00 | 0.29935 | SELL - Low Sigma suggests limited profit potential
KORI.FR_9 | $3684.00 | 0.82528 | STRONG BUY - High Sigma indicates significant trading opportunity with multiple confirming signals
WRDEUA.DE | $3624700.00 | 0.35408 | SELL - Low Sigma suggests limited profit potential
AMUN.FR_4 | $6854.00 | 0.41024 | HOLD - Moderate Sigma with mixed signals
RTX.US_4 | $13271.00 | 0.68278 | BUY - Good Sigma with positive technical indicators
ETL.FR_9 | $1201.00 | 0.32718 | SELL - Low Sigma suggests limited profit potential
RNR.US_9 | $23718.00 | 0.41086 | HOLD - Moderate Sigma with mixed signals
NHI.US_4 | $7137.00 | 0.52855 | HOLD - Moderate Sigma with mixed signals
NESTE.FI_9 | $8620.00 | 0.34673 | SELL - Low Sigma suggests limited profit potential
TSE.US_9 | $493.00 | 0.66234 | BUY - Good Sigma with positive technical indicators
EURN.BE_4 | $8801.00 | 0.41451 | HOLD - Moderate Sigma with mixed signals
CCL.UK_4 | $16630.00 | 0.40979 | HOLD - Moderate Sigma with mixed signals
DOM.ES_9 | $2770.00 | 0.27886 | SELL - Low Sigma suggests limited profit potential
DAY.US_9 | $6188.00 | 0.28228 | SELL - Low Sigma suggests limited profit potential
SOP.FR_4 | $15180.00 | 0.23589 | SELL - Low Sigma suggests limited profit potential
RL.US_9 | $27098.00 | 0.51114 | HOLD - Moderate Sigma with mixed signals
ZBRA.US_4 | $31415.00 | 0.39574 | SELL - Low Sigma suggests limited profit potential
BLOK.UK | $31200.00 | 0.38230 | SELL - Low Sigma suggests limited profit potential
BEN.FR_9 | $10180.00 | 0.77301 | BUY - Good Sigma with positive technical indicators
PODD.US_9 | $27196.00 | 0.27925 | SELL - Low Sigma suggests limited profit potential
ETBB.DE | $13620.00 | 0.52788 | HOLD - Moderate Sigma with mixed signals
IBCI.DE | $2298600.00 | 0.34909 | SELL - Low Sigma suggests limited profit potential
SHOP.US_4 | $11153.00 | 0.49220 | HOLD - Moderate Sigma with mixed signals
NZYMB.DK_9 | $43300.00 | 0.59199 | HOLD - Moderate Sigma with mixed signals
WCH.DE_9 | $6894.00 | 0.68349 | BUY - Good Sigma with positive technical indicators
KEX.US_4 | $10394.00 | 0.26428 | SELL - Low Sigma suggests limited profit potential
CLOV.US | $395.00 | 0.49460 | HOLD - Moderate Sigma with mixed signals
FARO.US_9 | $3182.00 | 0.65482 | BUY - Good Sigma with positive technical indicators
XCHA.DE | $14562.00 | 0.57347 | HOLD - Moderate Sigma with mixed signals
FTS.US_9 | $4387.00 | 0.56691 | HOLD - Moderate Sigma with mixed signals
HEXAB.SE | $12220.00 | 0.43853 | HOLD - Moderate Sigma with mixed signals
GFT.DE_9 | $1990.00 | 0.43940 | HOLD - Moderate Sigma with mixed signals
TRST.US | $3294.00 | 0.42314 | HOLD - Moderate Sigma with mixed signals
SXR1.DE | $17838.00 | 0.36202 | SELL - Low Sigma suggests limited profit potential
VUAA.DE | $1075500.00 | 0.22807 | SELL - Low Sigma suggests limited profit potential
CEC.DE_4 | $3085.00 | 0.53978 | HOLD - Moderate Sigma with mixed signals
TABAK.CZ_4 | $1713000.00 | 0.53063 | HOLD - Moderate Sigma with mixed signals
OLLI.US_9 | $10349.00 | 0.36273 | SELL - Low Sigma suggests limited profit potential
IBCN.DE | $1625700.00 | 0.46414 | HOLD - Moderate Sigma with mixed signals
IUSK.DE_9 | $71070.00 | 0.50776 | HOLD - Moderate Sigma with mixed signals
MBB.DE | $10560.00 | 0.53337 | HOLD - Moderate Sigma with mixed signals
NOVOB.DK_4 | $64260.00 | 0.66829 | BUY - Good Sigma with positive technical indicators
MMSI.US_9 | $10151.00 | 0.29913 | SELL - Low Sigma suggests limited profit potential
HSX.UK_9 | $11840.00 | 0.50967 | HOLD - Moderate Sigma with mixed signals
SPRU.US | $240.00 | 0.40570 | HOLD - Moderate Sigma with mixed signals
PTON.US_9 | $752.00 | 0.34884 | SELL - Low Sigma suggests limited profit potential
DLR.US_4 | $15606.00 | 0.24253 | SELL - Low Sigma suggests limited profit potential
TUI.DE_4 | $6977.00 | 0.30434 | SELL - Low Sigma suggests limited profit potential
NXT.US_9 | $4398.00 | 0.59601 | HOLD - Moderate Sigma with mixed signals
S5SG.DE | $32715.00 | 0.18013 | STRONG SELL - Very low Sigma indicates poor trading conditions
LLYVK.US_4 | $7279.00 | 0.60559 | BUY - Good Sigma with positive technical indicators
ATR.US_9 | $14646.00 | 0.43116 | HOLD - Moderate Sigma with mixed signals
CPAY.US_9 | $36680.00 | 0.33611 | SELL - Low Sigma suggests limited profit potential
RRR.US_9 | $4988.00 | 0.62868 | BUY - Good Sigma with positive technical indicators
RIO.UK_9 | $47945.00 | 0.27948 | SELL - Low Sigma suggests limited profit potential
CME.US_9 | $25316.00 | 0.65176 | BUY - Good Sigma with positive technical indicators
JGIE.DE | $26290.00 | 0.24949 | SELL - Low Sigma suggests limited profit potential
FLXB.DE | $21240.00 | 0.35482 | SELL - Low Sigma suggests limited profit potential
WDC.US_4 | $4884.00 | 0.27454 | SELL - Low Sigma suggests limited profit potential
UBER.US_9 | $7598.00 | 0.65734 | BUY - Good Sigma with positive technical indicators
HUYA.US_4 | $381.00 | 0.56234 | HOLD - Moderate Sigma with mixed signals
LHX.US | $20620.00 | 0.31260 | SELL - Low Sigma suggests limited profit potential
ATCOA.SE_9 | $18260.00 | 0.60158 | BUY - Good Sigma with positive technical indicators
BURL.US_9 | $24815.00 | 0.33121 | SELL - Low Sigma suggests limited profit potential
FRE.DE_9 | $38270.00 | 0.57709 | HOLD - Moderate Sigma with mixed signals
LLY.US_4 | $91824.00 | 0.60353 | BUY - Good Sigma with positive technical indicators
TEL.NO_4 | $14520.00 | 0.49971 | HOLD - Moderate Sigma with mixed signals
JMT.PT_4 | $20200.00 | 0.58965 | HOLD - Moderate Sigma with mixed signals
CPS.US_9 | $1508.00 | 0.67419 | BUY - Good Sigma with positive technical indicators
EQH.US_4 | $5492.00 | 0.47477 | HOLD - Moderate Sigma with mixed signals
SGAJ.DE | $64990.00 | 0.41059 | HOLD - Moderate Sigma with mixed signals
SMAR.US | $5648.00 | 0.52665 | HOLD - Moderate Sigma with mixed signals
RVMD.US_4 | $4048.00 | 0.43469 | HOLD - Moderate Sigma with mixed signals
ONON.US | $4845.00 | 0.31544 | SELL - Low Sigma suggests limited profit potential
BOY.UK_4 | $6300.00 | 0.43689 | HOLD - Moderate Sigma with mixed signals
JLL.US_4 | $27070.00 | 0.47704 | HOLD - Moderate Sigma with mixed signals
NVT.US_9 | $6029.00 | 0.43150 | HOLD - Moderate Sigma with mixed signals
BK.US_9 | $8883.00 | 0.60992 | BUY - Good Sigma with positive technical indicators
AHLA.DE | $12740.00 | 0.81593 | STRONG BUY - High Sigma indicates significant trading opportunity with multiple confirming signals
VECP.DE | $490410.00 | 0.55943 | HOLD - Moderate Sigma with mixed signals
TME.US_9 | $1218.00 | 0.69394 | BUY - Good Sigma with positive technical indicators
ALGORAND | $2876.00 | 0.48188 | HOLD - Moderate Sigma with mixed signals
VNQ.US_5 | $9372.00 | 0.52833 | HOLD - Moderate Sigma with mixed signals
SPHD.US_5 | $5047.00 | 0.64967 | BUY - Good Sigma with positive technical indicators
NSISB.DK_4 | $43230.00 | 0.63978 | BUY - Good Sigma with positive technical indicators
GIL.DE_4 | $4560.00 | 0.39643 | SELL - Low Sigma suggests limited profit potential
OPEN.US_4 | $130.00 | 0.48301 | HOLD - Moderate Sigma with mixed signals
ROVI.ES_4 | $5302.00 | 0.36480 | SELL - Low Sigma suggests limited profit potential
ELISA.FI_9 | $44360.00 | 0.61191 | BUY - Good Sigma with positive technical indicators
BYND.US_9 | $314.00 | 0.45365 | HOLD - Moderate Sigma with mixed signals
HAUTO.NO_9 | $7600.00 | 0.25914 | SELL - Low Sigma suggests limited profit potential
XHB.US_5 | $10119.00 | 0.22389 | SELL - Low Sigma suggests limited profit potential
HPP.US_4 | $329.00 | 0.58556 | HOLD - Moderate Sigma with mixed signals
TISG.IT | $7700.00 | 0.45761 | HOLD - Moderate Sigma with mixed signals
IUSK.DE_5 | $70960.00 | 0.39721 | SELL - Low Sigma suggests limited profit potential
PW.US | $11200.00 | 0.37332 | SELL - Low Sigma suggests limited profit potential
ITX.ES_4 | $52060.00 | 0.45959 | HOLD - Moderate Sigma with mixed signals
AKE.FR_9 | $7935.00 | 0.47318 | HOLD - Moderate Sigma with mixed signals
SXRY.DE | $17894.00 | 0.60349 | BUY - Good Sigma with positive technical indicators
RIOT.US | $927.00 | 0.43557 | HOLD - Moderate Sigma with mixed signals
ITP.FR_4 | $4418.00 | 0.61080 | BUY - Good Sigma with positive technical indicators
UXIN.US | $409.00 | 0.42491 | HOLD - Moderate Sigma with mixed signals
HYDE.DE | $27900.00 | 0.23184 | SELL - Low Sigma suggests limited profit potential
ALL.US_9 | $19882.00 | 0.49867 | HOLD - Moderate Sigma with mixed signals
AUM5.DE | $1110900.00 | 0.22816 | SELL - Low Sigma suggests limited profit potential
BSX.US_9 | $10387.00 | 0.43862 | HOLD - Moderate Sigma with mixed signals
WTS.US_9 | $21434.00 | 0.57616 | HOLD - Moderate Sigma with mixed signals
BVB.DE_9 | $3220.00 | 0.29306 | SELL - Low Sigma suggests limited profit potential
IOS.DE_9 | $2385.00 | 0.44859 | HOLD - Moderate Sigma with mixed signals
EOG.US_9 | $12673.00 | 0.46747 | HOLD - Moderate Sigma with mixed signals
MSI.US_4 | $43905.00 | 0.33235 | SELL - Low Sigma suggests limited profit potential
ORA.US_9 | $6960.00 | 0.50808 | HOLD - Moderate Sigma with mixed signals
ICP.UK_9 | $22860.00 | 0.43125 | HOLD - Moderate Sigma with mixed signals
ZPDE.DE | $33340.00 | 0.31759 | SELL - Low Sigma suggests limited profit potential
MCHI.US_5 | $5349.00 | 0.62477 | BUY - Good Sigma with positive technical indicators
SYM.US | $2270.00 | 0.53581 | HOLD - Moderate Sigma with mixed signals
GSDE.DE | $15576.00 | 0.37253 | SELL - Low Sigma suggests limited profit potential
AZK.ES_9 | $672.00 | 0.54267 | HOLD - Moderate Sigma with mixed signals
B4B.DE_4 | $5370.00 | 0.73260 | BUY - Good Sigma with positive technical indicators
SDGPEX.DE | $30850.00 | 0.51887 | HOLD - Moderate Sigma with mixed signals
MIPS.SE_4 | $48280.00 | 0.33977 | SELL - Low Sigma suggests limited profit potential
BXP.US_9 | $7080.00 | 0.37793 | SELL - Low Sigma suggests limited profit potential
TAP.US_9 | $6123.00 | 0.73972 | BUY - Good Sigma with positive technical indicators
XWEL.US | $10500.00 | 0.38700 | SELL - Low Sigma suggests limited profit potential
YIT.FI_4 | $2292.00 | 0.56033 | HOLD - Moderate Sigma with mixed signals
EXO.NL_4 | $9375.00 | 0.50113 | HOLD - Moderate Sigma with mixed signals
12DA.DE | $9691.00 | 0.38266 | SELL - Low Sigma suggests limited profit potential
WIZZ.UK_9 | $16820.00 | 0.63890 | BUY - Good Sigma with positive technical indicators
US30 | $43939.00 | 0.19001 | STRONG SELL - Very low Sigma indicates poor trading conditions
ERA.FR_4 | $5202.00 | 0.33010 | SELL - Low Sigma suggests limited profit potential
BFLY.US | $361.00 | 0.40129 | HOLD - Moderate Sigma with mixed signals
ASO.US | $4937.00 | 0.28957 | SELL - Low Sigma suggests limited profit potential
EQR.US_9 | $7414.00 | 0.49757 | HOLD - Moderate Sigma with mixed signals
IQQM.DE | $72530.00 | 0.48454 | HOLD - Moderate Sigma with mixed signals
GOGL.NO_4 | $11083.00 | 0.56513 | HOLD - Moderate Sigma with mixed signals
CRI.US_4 | $4116.00 | 0.25570 | SELL - Low Sigma suggests limited profit potential
IQQB.DE_9 | $19324.00 | 0.34023 | SELL - Low Sigma suggests limited profit potential
SPTN.US_4 | $2012.00 | 0.56562 | HOLD - Moderate Sigma with mixed signals
IMMR.US | $802.00 | 0.25502 | SELL - Low Sigma suggests limited profit potential
DJCOMEX.DE | $27625.00 | 0.37474 | SELL - Low Sigma suggests limited profit potential
MOS.US_9 | $2387.00 | 0.45200 | HOLD - Moderate Sigma with mixed signals
LHN.CH_9 | $9874.00 | 0.66190 | BUY - Good Sigma with positive technical indicators
BIG.US_9 | $5000.00 | 0.21837 | SELL - Low Sigma suggests limited profit potential
TW.US_9 | $13531.00 | 0.68996 | BUY - Good Sigma with positive technical indicators
EWBC.US_4 | $9396.00 | 0.26012 | SELL - Low Sigma suggests limited profit potential
BMY.US_4 | $5960.00 | 0.61033 | BUY - Good Sigma with positive technical indicators
AXON.US_9 | $52586.00 | 0.38365 | SELL - Low Sigma suggests limited profit potential
SXRH.DE | $48366.00 | 0.54663 | HOLD - Moderate Sigma with mixed signals
DEO.US_4 | $10858.00 | 0.41875 | HOLD - Moderate Sigma with mixed signals
MOH.US_9 | $30129.00 | 0.43140 | HOLD - Moderate Sigma with mixed signals
CBUQ.DE | $60910.00 | 0.17640 | STRONG SELL - Very low Sigma indicates poor trading conditions
GRG.UK_4 | $2092.00 | 0.36915 | SELL - Low Sigma suggests limited profit potential
ALGN.US_4 | $18671.00 | 0.26735 | SELL - Low Sigma suggests limited profit potential
UEF6.DE | $132190.00 | 0.38644 | SELL - Low Sigma suggests limited profit potential
TYL.US_4 | $60668.00 | 0.48231 | HOLD - Moderate Sigma with mixed signals
MARS.UK_9 | $4185.00 | 0.55133 | HOLD - Moderate Sigma with mixed signals
IMVT.US_4 | $2058.00 | 0.47232 | HOLD - Moderate Sigma with mixed signals
LEG.DE_9 | $8054.00 | 0.52153 | HOLD - Moderate Sigma with mixed signals
TIS.IT | $2330.00 | 0.69984 | BUY - Good Sigma with positive technical indicators
UNF.US_9 | $21341.00 | 0.37547 | SELL - Low Sigma suggests limited profit potential
GDXJ.UK_9 | $43240.00 | 0.45167 | HOLD - Moderate Sigma with mixed signals
SW.US_4 | $5195.00 | 0.38499 | SELL - Low Sigma suggests limited profit potential
STM.IT_9 | $23665.00 | 0.63367 | BUY - Good Sigma with positive technical indicators
AW16.DE | $19928.00 | 0.36553 | SELL - Low Sigma suggests limited profit potential
ESEA.DE | $214650.00 | 0.22857 | SELL - Low Sigma suggests limited profit potential
RVRC.SE | $4296.00 | 0.42565 | HOLD - Moderate Sigma with mixed signals
MONY.UK_9 | $19520.00 | 0.45273 | HOLD - Moderate Sigma with mixed signals
AFG.US_4 | $12547.00 | 0.35656 | SELL - Low Sigma suggests limited profit potential
FDJ.FR_4 | $3658.00 | 0.58119 | HOLD - Moderate Sigma with mixed signals
SXXEEX.DE | $55870.00 | 0.57897 | HOLD - Moderate Sigma with mixed signals
XDEB.DE | $45315.00 | 0.58267 | HOLD - Moderate Sigma with mixed signals
NYE.ES | $56.00 | 0.36025 | SELL - Low Sigma suggests limited profit potential
FUV.US | $1180.00 | 0.50675 | HOLD - Moderate Sigma with mixed signals
ESPR.US_9 | $168.00 | 0.24219 | SELL - Low Sigma suggests limited profit potential
P911.DE_9 | $5646.00 | 0.36973 | SELL - Low Sigma suggests limited profit potential
